Scaffold_6555	880053	880618	78	565	565	1.0000000
Scaffold_5117	9548	10482	24	932	934	0.9978586
Scaffold_178	613708	614251	9	506	543	0.9318600
Scaffold_1520	218698	219266	83	550	568	0.9683099
Scaffold_5196	1050597	1051105	86	508	508	1.0000000
Scaffold_3931	733978	734365	2	190	387	0.4909561
Scaffold_518	54976	56451	20	802	1475	0.5437288
Scaffold_2352	481759	482449	61	690	690	1.0000000
Scaffold_972	536232	536653	37	421	421	1.0000000
Scaffold_6581	791405	791705	89	300	300	1.0000000
Scaffold_3566	423401	423879	41	478	478	1.0000000
Scaffold_733	68615	69190	39	570	575	0.9913043
Scaffold_4155	696956	697381	41	425	425	1.0000000
Scaffold_3525	842241	842851	4	366	610	0.6000000
Scaffold_5324	243027	243477	20	374	450	0.8311111
Scaffold_6823	679411	680605	59	831	1194	0.6959799
Scaffold_2706	467153	467423	34	270	270	1.0000000
Scaffold_1139	786643	791220	17	609	4577	0.1330566
Scaffold_1799	929017	930611	52	1183	1594	0.7421581
Scaffold_5593	481528	482093	37	499	565	0.8831859
Scaffold_7910	1010333	1011192	4	103	859	0.1199069
Scaffold_726	68411	68831	78	420	420	1.0000000
Scaffold_7213	399307	400641	31	1156	1334	0.8665667
Scaffold_7941	1346337	1347470	123	725	1133	0.6398941
Scaffold_4203	908925	909432	46	507	507	1.0000000
Scaffold_61	336213	337510	59	533	1297	0.4109483
Scaffold_3928	41781	42646	9	437	865	0.5052023
Scaffold_2353	168756	169516	22	432	760	0.5684211
Scaffold_6391	807966	809000	27	845	1034	0.8172147
Scaffold_8240	414882	415212	59	330	330	1.0000000
Scaffold_4532	440093	440528	86	417	435	0.9586207
Scaffold_1480	903757	904688	78	913	931	0.9806659
Scaffold_4143	546054	547749	182	1465	1695	0.8643068
Scaffold_565	136892	137408	32	516	516	1.0000000
Scaffold_1491	1003350	1003884	125	534	534	1.0000000
Scaffold_1205	114289	115190	147	838	901	0.9300777
Scaffold_3147	344350	344848	2	151	498	0.3032129
Scaffold_7479	1163046	1163900	0	0	854	0.0000000
