171	Sp	477	50.98	-120.48	1775	1.3	12.2	-9	21.2	644	310	17.5	39.4	1163	750	134	166	248	82	290	-39.7	31	428	102	Sp_477
228	Sp	534	55.16	-120.96	1000	2.1	14.5	-10.6	25.1	635	335	19.1	43.3	1295	1107	150	154	252	98	227	-42.3	32.1	515	141	Sp_534
125	Sp	431	50.58	-119.73	1250	3.6	14.6	-7.5	22.1	526	253	25.9	57.7	870	1123	155	157	254	97	181	-37.7	33.4	569	253	Sp_431
77	Sp	383	55.19	-114.88	725	1.8	15.2	-13.7	28.9	599	429	19.7	35.4	1497	1186	157	143	255	112	132	-45.3	31.8	493	64	Sp_383
108	Sp	414	50.96	-116.26	1829	0.2	12	-11.8	23.8	1032	427	9.9	28.1	1487	717	118	172	238	66	566	-44.9	31.7	450	38	Sp_414
143	Sp	449	49.26	-119.73	1219	4.5	15.3	-6.2	21.5	501	202	28.9	75.9	730	1280	169	150	262	112	181	-35.5	34.7	595	330	Sp_449
227	Sp	533	55.1	-125.4	1170	1.2	12.5	-10.7	23.2	697	305	16.1	41	1276	813	138	166	249	83	327	-41.3	30.7	457	127	Sp_533
8	Sp	311	53.31	-117.85	1067	2.3	14.2	-11.1	25.3	522	335	23.6	42.4	1223	1082	143	160	249	89	144	-43.5	32.5	546	158	Sp_311
138	Sp	444	50.73	-118.03	670	5.2	16.7	-7	23.7	962	341	15.8	49	726	1492	182	140	264	124	349	-36	35.4	644	198	Sp_444
115	Sp	421	52.4	-120.9	1650	0.5	11.4	-10.8	22.2	946	424	11.1	26.9	1340	652	115	182	239	58	484	-41.9	30.8	471	27	Sp_421
85	Sp	391	55.59	-118.22	640	1.4	15.6	-15.8	31.4	475	297	24	52.5	1712	1262	154	144	252	108	142	-46.7	33.7	531	189	Sp_391
157	Sp	463	58.08	-121.55	450	0	16.1	-18.1	34.2	423	279	23.6	57.7	2105	1215	146	149	249	100	119	-48.5	33.8	501	184	Sp_463
60	Sp	365	54.47	-115.21	890	2.1	14.9	-12.3	27.2	575	407	21	36.6	1384	1170	153	147	253	106	132	-45.3	31.7	515	70	Sp_365
1	Sp	303	58.2	-111.38	229	-1.2	16.6	-23.4	40	394	244	22.3	68	2559	1255	147	147	250	103	126	-47.1	35.6	494	216	Sp_303
30	Sp	335	52.96	-115.53	1100	2	14.2	-11.6	25.8	599	435	20	32.7	1315	1087	150	149	253	104	129	-44.8	31.3	507	53	Sp_335
